"ID","ACTIVITY_DATE","TOTAL_STEPS","TOTAL_DISTANCE","TRACKER_DISTANCE","LOGGED_ACTIVITIES_DISTANCE","VERY_ACTIVE_DISTANCE","MODERATELY_ACTIVE_DISTANCE","LIGHT_ACTIVE_DISTANCE","SEDENTARY_ACTIVE_DISTANCE","VERY_ACTIVE_MINUTES","FAIRLY_ACTIVE_MINUTES","LIGHTLY_ACTIVE_MINUTES","SEDENTARY_MINUTES","CALORIES","SEDENTARY_HOURS","ACTIVE_HOURS"
1503960366,"2016-05-12 00:00:00",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1440,0,24,0
1624580081,"2016-04-15 00:00:00",1510,0.980000,0.980000,0.000000,0.000000,0.000000,0.970000,0.000000,0,0,96,1344,1344,22,1
1624580081,"2016-05-03 00:00:00",2100,1.370000,1.370000,0.000000,0.000000,0.000000,1.340000,0.020000,0,0,96,1344,1334,22,1
1624580081,"2016-05-04 00:00:00",2193,1.430000,1.430000,0.000000,0.000000,0.000000,1.420000,0.000000,0,0,118,1322,1368,22,1
1624580081,"2016-05-05 00:00:00",2470,1.610000,1.610000,0.000000,0.000000,0.000000,1.580000,0.020000,0,0,117,1323,1370,22,1
1624580081,"2016-05-06 00:00:00",1727,1.120000,1.120000,0.000000,0.000000,0.000000,1.120000,0.010000,0,0,102,1338,1341,22,1
1624580081,"2016-05-09 00:00:00",1732,1.130000,1.130000,0.000000,0.000000,0.000000,1.130000,0.000000,0,0,91,1349,1328,22,1
1624580081,"2016-05-11 00:00:00",3134,2.040000,2.040000,0.000000,0.000000,0.000000,2.040000,0.000000,0,0,112,1328,1359,22,1
1624580081,"2016-05-12 00:00:00",2971,1.930000,1.930000,0.000000,0.000000,0.000000,1.920000,0.010000,0,0,107,890,1002,14,1
1644430081,"2016-04-21 00:00:00",1223,0.890000,0.890000,0.000000,0.000000,0.000000,0.880000,0.010000,0,0,38,1402,2140,23,0
1644430081,"2016-04-22 00:00:00",3673,2.670000,2.670000,0.000000,0.000000,0.000000,2.660000,0.010000,0,0,86,1354,2344,22,1
1644430081,"2016-04-24 00:00:00",3321,2.410000,2.410000,0.000000,0.000000,0.000000,2.410000,0.000000,0,0,89,1351,2413,22,1
1644430081,"2016-04-25 00:00:00",3580,2.600000,2.600000,0.000000,0.590000,0.060000,1.950000,0.000000,8,1,94,1337,2497,22,1
1644430081,"2016-04-27 00:00:00",3032,2.200000,2.200000,0.000000,0.000000,0.000000,2.200000,0.000000,0,0,118,1322,2489,22,1
1644430081,"2016-05-04 00:00:00",2309,1.680000,1.680000,0.000000,0.000000,0.000000,1.660000,0.020000,0,0,52,1388,2222,23,0
1644430081,"2016-05-05 00:00:00",4363,3.190000,3.190000,0.000000,0.520000,0.540000,2.130000,0.010000,6,12,81,1341,2463,22,1
1644430081,"2016-05-11 00:00:00",1329,0.970000,0.970000,0.000000,0.000000,0.000000,0.950000,0.010000,0,0,49,713,1276,11,0
1844505072,"2016-04-19 00:00:00",197,0.130000,0.130000,0.000000,0.000000,0.000000,0.130000,0.000000,0,0,10,1430,1366,23,0
1844505072,"2016-04-20 00:00:00",8,0.010000,0.010000,0.000000,0.000000,0.000000,0.010000,0.000000,0,0,1,1439,1349,23,0
1844505072,"2016-04-24 00:00:00",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1440,1347,24,0
1844505072,"2016-04-25 00:00:00",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1440,1347,24,0
1844505072,"2016-04-26 00:00:00",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1440,1347,24,0
1844505072,"2016-04-27 00:00:00",4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,1439,1348,23,0
1844505072,"2016-05-01 00:00:00",2573,1.700000,1.700000,0.000000,0.000000,0.260000,1.450000,0.000000,0,7,75,585,1541,9,1
